aX,aY,aZ,gX,gY,gZ,target
2624,-10800,1060,173,119,96,0
2633,-10640,1371,168,83,13,0
2542,-10550,1620,111,45,-48,0
2467,-10526,1713,22,15,-93,0
2309,-10424,1599,-31,-20,-122,0
2170,-10128,1411,-9,-65,-137,0
2044,-9797,1241,64,-74,-126,0
1953,-9613,1136,150,-55,-91,0
1959,-9492,1128,225,-38,-54,0
2013,-9499,1265,272,-23,-25,0
2077,-9532,1379,283,-18,-8,0
2190,-9502,1482,262,-28,-3,0
2297,-9472,1623,205,-45,-1,0
2357,-9428,1741,112,-85,4,0
2457,-9368,1826,5,-148,13,0
2620,-9253,1775,-92,-219,26,0
2633,-9245,1640,-151,-294,50,0
2487,-9437,1365,-169,-362,81,0
2423,-9689,1039,-143,-380,112,0
2292,-9878,854,-60,-357,133,0
2160,-10071,827,33,-325,123,0
2115,-10304,666,96,-275,75,0
2133,-10346,418,126,-162,-19,0
2111,-10032,518,136,-6,-126,0
2039,-9641,943,82,109,-221,0
1994,-9306,1369,-51,169,-295,0
1942,-9000,1562,-211,181,-323,0
1936,-8857,1600,-321,151,-300,0
1954,-8865,1611,-347,72,-241,0
2045,-8875,1511,-299,-22,-164,0
2147,-8973,1383,-177,-100,-70,0
2159,-9065,1274,-18,-148,17,0
2112,-9141,1340,128,-167,92,0
2068,-9220,1458,204,-187,152,0
2103,-9263,1533,176,-214,170,0
2232,-9445,1461,61,-229,158,0
2322,-9532,1215,-90,-221,132,0
2316,-9680,1006,-193,-161,92,0
2242,-9913,891,-217,-88,47,0
2242,-9913,891,-217,-88,47,0
2214,-10006,832,-181,-39,19,0
2338,-10035,906,-85,-13,26,0
2417,-10014,1052,31,-7,45,0
2413,-9901,1145,92,-35,45,0
2415,-9802,1120,96,-68,42,0
2394,-9773,928,76,-65,51,0
2231,-9798,883,46,-34,58,0
2179,-9913,878,11,-12,61,0
2291,-9969,903,-32,8,50,0
2364,-9927,1016,-80,44,21,0
2336,-9906,1151,-112,70,-6,0
2296,-9827,1199,-123,62,-29,0
2359,-9693,1204,-97,44,-32,0
2372,-9590,1237,-51,22,-26,0
2326,-9512,1259,-12,0,-17,0
2308,-9443,1273,37,-16,18,0
2328,-9440,1252,93,-31,54,0
2294,-9561,1144,119,-36,63,0
2241,-9719,988,108,-31,58,0
2241,-9791,888,76,-19,42,0
2315,-9745,869,30,3,13,0
2334,-9686,881,-25,37,-17,0
2316,-9639,903,-66,75,-35,0
2261,-9560,982,-70,95,-41,0
2176,-9453,1024,-56,86,-36,0
2090,-9452,1037,-35,80,-15,0
2049,-9501,1072,-11,82,10,0
2039,-9549,1112,2,63,26,0
2054,-9654,1170,5,51,36,0
2068,-9666,1297,0,52,25,0
1990,-9567,1373,-24,45,-3,0
1970,-9422,1362,-59,22,-38,0
1980,-9267,1278,-87,-2,-60,0
2060,-9077,1104,-112,-9,-65,0
2172,-8967,1054,-143,0,-62,0
2230,-8924,1058,-201,18,-53,0
2196,-9013,1075,-241,41,-17,0
2213,-9225,1148,-222,47,42,0
2290,-9508,1298,-152,27,99,0
2332,-9703,1357,-104,-30,113,0
2373,-9799,1272,-84,-88,102,0
2354,-9790,1022,-66,-132,85,0
2280,-9797,700,-48,-166,76,0
2297,-9882,330,-19,-168,62,0
2458,-9883,128,27,-100,37,0
2401,-9815,146,74,12,9,0
2291,-9784,299,82,120,-19,0
2281,-9777,537,49,197,-34,0
2300,-9723,810,5,246,-35,0
2267,-9717,1084,-22,268,-33,0
2169,-9733,1314,-18,257,-33,0
2130,-9669,1447,13,211,-25,0
2127,-9652,1516,74,161,-4,0
2114,-9650,1590,152,117,16,0
2053,-9621,1599,207,70,28,0
2013,-9660,1616,218,28,36,0
2019,-9695,1564,183,-11,42,0
2050,-9729,1424,110,-35,29,0
2043,-9791,1268,24,-27,2,0
2032,-9809,1173,-46,-1,-33,0
2072,-9759,1097,-86,14,-55,0
2152,-9720,1164,-83,21,-47,0
2239,-9709,1240,-55,16,-34,0
2275,-9689,1219,-23,0,-22,0
2272,-9681,1218,21,-17,0,0
2179,-9658,1175,54,-37,16,0
2142,-9690,1158,59,-53,22,0
2165,-9708,1126,27,-57,16,0
2179,-9751,1059,-25,-44,5,0
2203,-9840,1059,-69,-25,-8,0
2175,-9911,1096,-89,-8,-23,0
2148,-10037,1132,-86,-2,-25,0
2201,-10184,1231,-53,-5,-17,0
2285,-10304,1325,-22,-20,-16,0
2272,-10452,1361,-26,-37,-30,0
2203,-10564,1326,-56,-49,-59,0
2170,-10719,1308,-93,-69,-85,0
2080,-11068,1131,-125,-88,-123,0
1978,-11553,890,-129,-70,-183,0
1909,-12070,890,-122,-16,-268,0
1977,-12472,1171,-189,34,-389,0
1987,-12706,1369,-304,79,-541,0
1789,-12915,1447,-381,124,-690,0
1599,-12947,1607,-417,139,-829,0
1300,-13039,1783,-413,123,-911,0
1124,-13345,1818,-362,86,-958,0
1158,-13719,1856,-268,45,-1027,0
1121,-14089,1897,-170,25,-1155,0
1152,-14223,1995,-108,28,-1346,0
1294,-14007,2179,-119,27,-1595,0
1344,-13835,2205,-216,12,-1883,0
1344,-13835,2205,-216,12,-1883,0
1271,-14050,1885,-401,4,-2219,0
1203,-14685,1583,-602,37,-2629,0
1511,-14615,1435,-728,67,-3164,0
1786,-13571,1685,-714,67,-3723,0
1778,-12276,2297,-690,-23,-4145,0
1898,-10489,2340,-725,-208,-4458,0
1969,-9188,1919,-825,-423,-4672,0
2080,-8444,902,-945,-563,-4840,0
2448,-7288,-140,-925,-539,-4988,0
2722,-5673,-447,-835,-466,-5073,0
3004,-3834,-20,-817,-474,-5092,0
3392,-1935,354,-928,-566,-5072,0
3913,-278,503,-1114,-668,-5013,0
4164,1028,566,-1433,-776,-4952,0
4759,3266,-14,-1880,-873,-5024,0
4863,5219,-709,-2242,-850,-5069,0
4799,7127,-1362,-2488,-714,-5032,0
4944,9495,-2342,-2564,-508,-4860,0
5625,12097,-3422,-2342,-210,-4403,0
6381,14424,-4098,-1716,213,-3486,0
7014,16484,-4151,-702,672,-2102,0
7929,17916,-3423,444,1088,-443,0
8806,18449,-2144,1352,1414,1255,0
8877,18537,-1021,1906,1583,3014,0
8383,17704,-160,2223,1515,4945,0
7452,15604,249,2312,1243,6936,0
5171,12730,289,2289,990,8935,0
1483,9610,536,2391,800,10999,0
-4158,5972,1231,2782,615,12964,0
-12056,1072,2206,3341,621,14645,0
-19993,-7599,2806,3678,685,15837,0
-26365,-19774,2921,3485,417,16251,0
-29219,30405,4359,3141,-79,14983,0
-20459,26309,8900,2954,42,10851,0
-5916,26358,11546,2483,891,4207,0
-6978,26570,12666,2145,1565,-1680,0
-14963,-32578,13322,1937,1569,-4630,0
-15100,-21996,13403,266,849,-5746,0
-9069,-16157,12269,-2533,-102,-6250,0
-3893,-14062,9379,-4585,-778,-6453,0
-1163,-14042,5575,-5100,-1096,-6605,0
-962,-13312,1273,-4168,-1107,-6871,0
-1696,-12144,-2077,-2271,-788,-7010,0
-1452,-10243,-3419,-295,-349,-6873,0
-316,-7703,-2322,1161,20,-6530,0
787,-4617,-288,1774,233,-6228,0
1586,-1817,1353,1442,299,-6107,0
2594,429,2326,393,281,-6199,0
3198,2299,2608,-900,161,-6414,0
4064,4975,2839,-2035,-114,-6633,0
4636,6626,2616,-2897,-511,-6645,0
4917,8693,1494,-3368,-931,-6375,0
5481,11291,51,-3152,-1166,-5708,0
6502,13331,-1454,-2289,-1214,-4647,0
7370,15462,-2661,-1144,-1112,-3226,0
8186,17366,-3214,29,-815,-1515,0
9326,17998,-2954,1036,-411,365,0
9696,17380,-2377,1657,-86,2286,0
8581,15481,-1611,2035,139,4085,0
6889,12970,-877,2363,199,5813,0
4559,10686,-341,2622,88,7575,0
1482,7477,93,2897,-66,9352,0
-2239,3429,249,3306,-138,10864,0
-6820,-651,178,3792,42,12008,0
-11723,-6041,223,4006,426,12719,0
-15842,-12850,276,3685,748,12891,0
-16194,-23711,1662,2850,983,12239,0
-11025,31648,4295,1092,1286,10138,0
-4430,27360,6458,-1159,1943,6587,0
-2071,29328,7741,-2189,2742,2631,0
-3031,-30583,8599,-1462,3075,-375,0
-5074,-23617,8751,-221,2427,-1856,0
-5050,-17414,8139,229,1012,-2255,0
-3152,-13064,7271,-175,-312,-2227,0
-1069,-10624,6026,-712,-1038,-2040,0
484,-9662,4327,-1031,-1405,-1813,0
996,-8690,2425,-1146,-1620,-1645,0
1400,-8081,884,-944,-1569,-1492,0
1877,-7654,-56,-515,-1326,-1255,0
2332,-7388,-501,-15,-1003,-933,0
2748,-7119,-446,390,-698,-565,0
3074,-7051,-9,660,-470,-229,0
3095,-7467,318,760,-308,6,0
2984,-7972,448,684,-196,131,0
2710,-8439,509,487,-144,208,0
2542,-9009,499,262,-128,245,0
2490,-9574,405,71,-139,259,0
2399,-10231,213,-79,-144,236,0
2419,-10762,-105,-184,-105,145,0
2476,-10896,-306,-225,-22,16,0
2476,-10896,-306,-225,-22,16,0
2449,-10729,-143,-188,98,-88,0
2414,-10563,283,-110,209,-149,0
2405,-10397,758,-67,265,-188,0
2384,-10089,1095,-41,273,-210,0
2352,-9828,1322,31,255,-200,0
2300,-9638,1505,154,201,-160,0
2274,-9512,1707,274,108,-94,0
2361,-9443,1854,319,-10,-25,0
2451,-9433,1848,260,-109,17,0
2359,-9454,1695,146,-145,21,0
2270,-9426,1464,18,-156,12,0
2305,-9301,1330,-104,-156,6,0
2300,-9210,1282,-192,-149,15,0
2169,-9209,1253,-241,-136,40,0
2114,-9427,1223,-271,-125,74,0
2232,-9616,1155,-291,-111,82,0
2266,-9670,1169,-284,-86,60,0
2089,-9840,1084,-284,-65,13,0
2171,-10023,786,-294,-47,-58,0
2343,-9868,584,-286,-19,-120,0
2371,-9604,565,-259,20,-151,0
2340,-9469,647,-238,68,-163,0
2166,-9386,712,-231,93,-151,0
2014,-9340,737,-212,86,-94,0
2069,-9386,839,-156,66,-18,0
2044,-9525,955,-69,42,44,0
1990,-9672,1053,42,21,88,0
2061,-9739,1240,133,-24,107,0
2191,-9717,1294,140,-88,89,0
2312,-9632,1248,52,-127,47,0
2339,-9469,1175,-86,-144,0,0
2304,-9366,1009,-217,-159,-35,0
2334,-9393,711,-284,-152,-55,0
2332,-9443,470,-262,-100,-51,0
2287,-9437,416,-175,-63,-36,0
2334,-9583,350,-80,-56,-20,0
2504,-9664,221,-6,-31,-21,0
2508,-9519,289,87,39,-20,0
2339,-9458,549,181,98,3,0
2226,-9514,843,197,107,25,0
2242,-9575,969,143,91,35,0
2236,-9692,1034,79,87,27,0
2202,-9741,1025,38,80,11,0
2292,-9702,1007,30,63,0,0
2299,-9630,1047,64,58,3,0
2255,-9595,1091,110,64,5,0
2191,-9559,1113,145,66,5,0
2111,-9513,1151,159,63,9,0
2105,-9493,1224,153,53,25,0
2159,-9511,1292,120,35,42,0
2224,-9565,1285,65,17,38,0
2245,-9628,1235,11,11,26,0
2280,-9653,1207,-20,23,18,0
2281,-9693,1276,-17,34,12,0
2176,-9645,1268,-16,0,1,0
2109,-9669,1133,-15,-56,6,0
2127,-9720,907,-2,-88,17,0
2269,-9681,741,23,-93,18,0
2293,-9677,678,48,-72,11,0
2174,-9698,693,55,-27,0,0
2146,-9738,747,45,15,-2,0
2133,-9743,848,34,44,0,0
2102,-9792,1024,33,62,5,0
2099,-9786,1194,18,54,-1,0
2129,-9736,1241,-17,20,-9,0
2197,-9646,1216,-46,-13,-15,0
2248,-9547,1188,-59,-29,-14,0
2140,-9489,1162,-49,-37,-7,0
2090,-9493,1176,-30,-60,13,0
2193,-9569,1066,-14,-94,34,0
2215,-9720,914,3,-114,39,0
2138,-9903,677,25,-116,21,0
2236,-10006,373,41,-91,-13,0
2363,-9820,331,68,-29,-52,0
2369,-9566,549,83,47,-82,0
2311,-9450,832,58,100,-90,0
2324,-9391,1042,15,105,-55,0
2414,-9516,1109,-5,86,0,0
2442,-9709,1209,9,71,41,0
2367,-9883,1307,49,52,62,0
2227,-9945,1345,74,10,62,0
2153,-9941,1239,71,-40,49,0
2233,-9850,1042,45,-77,23,0
2208,-9757,840,6,-69,0,0
2147,-9712,723,-8,-34,-2,0
2108,-9745,707,-14,-8,2,0
2081,-9791,703,-23,11,-4,0
2083,-9788,666,-28,35,-21,0
2105,-9775,720,-13,64,-39,0
1980,-9768,865,9,84,-47,0
1885,-9753,975,15,69,-43,0
1885,-9753,975,15,69,-43,0
1989,-9663,1037,23,19,-36,0
2148,-9531,1031,28,-20,-42,0
2213,-9369,1004,15,-35,-61,0
2227,-9184,891,-6,-50,-70,0
2300,-8992,773,-28,-55,-66,0
2384,-8903,687,-33,-35,-50,0
2310,-9015,653,-23,2,-33,0
2199,-9126,664,-9,38,-15,0
2156,-9192,743,12,51,11,0
2108,-9319,867,25,56,30,0
2194,-9373,963,20,73,34,0
2397,-9306,1101,7,91,27,0
2518,-9269,1344,5,108,32,0
2541,-9245,1513,-2,101,49,0
2505,-9268,1575,0,74,83,0
2444,-9407,1623,19,41,126,0
2402,-9615,1684,27,6,162,0
2353,-9847,1618,16,-31,188,0
2231,-10039,1483,-1,-63,193,0
2075,-10227,1369,-22,-74,178,0
1965,-10330,1276,-37,-74,150,0
1890,-10310,1168,-47,-83,111,0
1919,-10290,1060,-67,-97,76,0
1996,-10205,922,-98,-107,33,0
2098,-10058,750,-123,-112,-8,0
2177,-9914,616,-121,-115,-27,0
2232,-9788,549,-94,-116,-25,0
2218,-9713,538,-68,-110,-21,0
2103,-9708,533,-47,-95,-11,0
1975,-9906,580,-11,-82,11,0
1996,-10206,653,28,-75,25,0
1916,-10695,726,39,-55,7,0
1783,-11382,860,27,0,-47,0
1871,-11937,1144,27,68,-131,0
1838,-12203,1437,30,112,-248,0
1589,-12494,1788,52,135,-386,0
1411,-12811,2033,68,99,-509,0
1350,-13368,2063,60,14,-629,0
1240,-14267,1944,43,-60,-820,0
1441,-14779,2170,-2,-91,-1132,0
1404,-14391,2587,-96,-126,-1503,0
1167,-13738,2776,-254,-195,-1819,0
1242,-12820,2652,-474,-305,-2066,0
1302,-12469,2314,-681,-416,-2208,0
1260,-12923,1750,-806,-485,-2327,0
1664,-13381,1219,-787,-484,-2524,0
2061,-13040,790,-661,-497,-2711,0
2191,-12796,726,-381,-431,-2932,0
2703,-12622,660,-138,-361,-3225,0
2844,-11794,629,57,-336,-3500,0
2711,-10717,998,217,-335,-3699,0
2803,-9502,1383,211,-371,-3795,0
3096,-8360,1535,61,-446,-3811,0
3580,-7601,1370,-225,-539,-3784,0
4259,-6732,993,-689,-678,-3763,0
4597,-6106,659,-1186,-797,-3753,0
4986,-5570,317,-1591,-885,-3769,0
5302,-4647,-223,-1872,-903,-3767,0
5494,-3871,-654,-2028,-817,-3701,0
5438,-3562,-1150,-2133,-718,-3588,0
5518,-3223,-1485,-2196,-612,-3481,0
5739,-2873,-1271,-2233,-493,-3408,0
6035,-2235,-1241,-2352,-405,-3410,0
6171,-1352,-1403,-2427,-328,-3430,0
6160,-384,-1303,-2337,-229,-3424,0
5776,144,-754,-2117,-133,-3432,0
5631,1337,-913,-1862,-92,-3489,0
5606,3272,-1438,-1495,-12,-3547,0
5594,5551,-1435,-1141,143,-3556,0
5618,7728,-1045,-1012,279,-3452,0
5508,9688,-990,-1134,319,-3268,0
5535,11980,-1784,-1299,321,-2971,0
5764,14544,-2549,-1197,423,-2332,0
6202,17095,-2921,-800,632,-1255,0
7439,19180,-3079,-263,814,225,0
8509,20116,-2709,381,1043,2016,0
8084,19346,-1851,1178,1314,4053,0
6711,17763,-1219,1987,1401,6184,0
5083,15610,-1045,2637,1278,8322,0
2485,13009,-817,3236,1143,10442,0
-1872,9821,-142,3937,1039,12518,0
-7873,6137,1585,4785,1036,14429,0
-15835,1885,3839,5445,1222,16077,0
-25198,-5903,5509,5251,1356,17273,0
32656,-17899,6346,4221,1104,17453,0
30842,30808,9188,3070,608,16334,0
-24582,26309,16188,2246,447,12165,0
-8010,26369,17755,1596,1248,4732,0
-9774,26571,11244,1650,2065,-1869,0
-19453,-32157,9091,2130,1031,-4223,0
-17687,-20802,11612,1200,-240,-4877,0
-17687,-20802,11612,1200,-240,-4877,0
-9798,-15935,11891,-1290,-305,-5364,0
-3759,-13697,9165,-3653,-101,-5626,0
-865,-13090,6411,-4525,-231,-5736,0
-954,-14316,3676,-3913,-450,-5762,0
-1520,-13722,1438,-2451,-564,-5812,0
-1523,-11916,433,-875,-673,-5711,0
-1095,-9545,227,352,-823,-5482,0
-64,-7077,305,1218,-953,-5341,0
1185,-4984,198,1579,-1049,-5254,0
2547,-2851,-411,1359,-991,-5260,0
3369,-949,-968,731,-755,-5274,0
3720,158,-818,-164,-460,-5266,0
4446,1098,-432,-1180,-295,-5296,0
4719,1711,-349,-2064,-283,-5311,0
4857,2522,-332,-2761,-304,-5290,0
5256,3781,-423,-3291,-296,-5259,0
5607,4729,-183,-3631,-259,-5266,0
6062,5773,-390,-3899,-242,-5258,0
6587,7714,-1288,-3793,-203,-5039,0
7314,9905,-2206,-2862,-112,-4346,0
7975,12039,-2585,-1261,-7,-3157,0
8718,14274,-2242,457,72,-1561,0
9560,15871,-1567,1771,172,275,0
9840,16221,-1252,2303,271,2199,0
8844,15183,-1321,2081,347,4159,0
7265,12656,-1309,1543,448,6017,0
5012,9557,-1134,1115,553,7704,0
2105,6203,-652,1007,603,9220,0
-1550,2853,192,1216,583,10496,0
-5984,-1656,1142,1435,496,11489,0
-10470,-9393,914,1387,247,12006,0
-12852,-19736,-726,1246,-120,11809,0
-10838,-27803,-1525,1271,-350,10541,0
-6941,-31902,481,1395,241,8280,0
-4069,31332,3747,1427,1403,5491,0
-3857,-31959,6240,1094,2080,2596,0
-4598,-26174,7835,558,1875,305,0
-4254,-20726,7441,-166,1088,-1091,0
-3110,-16276,6190,-901,410,-1696,0
-1911,-13194,5379,-1383,5,-1778,0
-672,-11370,4582,-1573,-311,-1716,0
354,-10333,3514,-1489,-614,-1612,0
1005,-9623,2287,-1189,-849,-1408,0
1447,-9079,1292,-752,-945,-1131,0
1775,-8709,721,-282,-941,-837,0
2193,-8481,344,117,-892,-585,0
2711,-8287,171,410,-780,-381,0
2936,-8202,243,610,-661,-224,0
3092,-8183,298,662,-573,-135,0
3086,-8157,226,584,-464,-105,0
2765,-8171,70,452,-379,-76,0
2399,-8435,3,289,-363,-9,0
2261,-8904,35,84,-415,87,0
2274,-9282,-11,-146,-465,161,0
2274,-9581,-93,-306,-452,194,0
2212,-9975,-102,-330,-402,201,0
2266,-10399,-259,-242,-329,175,0
2428,-10575,-350,-91,-190,95,0
2353,-10490,-174,126,-58,19,0
2238,-10343,306,361,-6,-12,0
2274,-10182,681,491,-30,-17,0
2364,-9994,800,479,-62,-11,0
2376,-9897,860,403,-88,-9,0
2396,-9812,893,283,-134,-45,0
2448,-9627,853,160,-169,-88,0
2458,-9440,800,82,-187,-102,0
2419,-9422,730,57,-225,-85,0
2523,-9530,530,95,-269,-64,0
2682,-9589,316,221,-253,-49,0
2662,-9568,232,403,-166,-44,0
2521,-9377,387,569,-52,-44,0
2358,-9274,782,653,30,-8,0
2361,-9276,1103,615,68,28,0
2525,-9431,1222,485,118,41,0
2694,-9711,1200,245,127,30,0
2674,-9686,1150,-24,86,-27,0
2553,-9647,993,-201,75,-62,0
2412,-9730,835,-273,67,-68,0
2367,-9709,797,-273,49,-61,0
2263,-9736,780,-205,46,-36,0
2163,-9781,847,-74,36,1,0
2176,-9715,1003,58,0,21,0
2299,-9567,1164,132,-36,27,0
2359,-9495,1192,146,-53,29,0
2357,-9411,1185,119,-67,26,0
2390,-9275,1177,65,-89,21,0
2384,-9162,1125,-21,-105,11,0
2330,-9065,1075,-127,-112,8,0
2212,-9031,1048,-218,-116,10,0
2080,-9020,1021,-253,-125,36,0
2062,-9026,1033,-219,-157,95,0
2062,-9026,1033,-219,-157,95,0
2117,-9006,1092,-134,-214,168,0
2223,-9006,1175,-35,-284,242,0
2201,-9094,1261,27,-351,304,0
2114,-9250,1205,31,-396,336,0
2065,-9468,940,-11,-413,320,0
2008,-9737,612,-59,-384,269,0
1946,-9986,254,-94,-314,190,0
2066,-10091,-31,-90,-212,115,0
2100,-10023,8,-28,-109,80,0
2078,-9949,265,35,-20,68,0
2021,-9966,472,58,36,71,0
2043,-9937,706,64,47,87,0
2108,-9954,961,60,29,94,0
2170,-10018,1047,8,-6,69,0
2208,-10029,893,-58,-31,29,0
2211,-9978,719,-84,-38,0,0
2199,-9905,677,-64,-30,-14,0
2201,-9835,645,-21,-22,-15,0
2298,-9788,593,22,-14,-11,0
2334,-9860,457,63,17,-10,0
2205,-10039,369,95,61,-13,0
2031,-10281,335,109,99,-13,0
2050,-10490,398,128,150,-15,0
2099,-10576,675,158,202,-41,0
2079,-10462,938,155,219,-98,0
2075,-10245,1132,124,202,-148,0
2129,-9992,1266,85,164,-172,0
2223,-9757,1318,49,115,-173,0
2235,-9596,1273,26,70,-159,0
2205,-9483,1205,25,14,-129,0
2159,-9494,1118,38,-33,-87,0
2164,-9601,993,49,-58,-49,0
2220,-9759,888,63,-41,-34,0
2185,-9809,930,85,-1,-57,0
2157,-9715,1100,71,17,-92,0
2219,-9577,1217,19,21,-115,0
2245,-9478,1209,-49,18,-129,0
2261,-9445,1180,-87,4,-121,0
2229,-9495,1106,-68,-20,-100,0
2159,-9518,1077,-14,-44,-82,0
2152,-9468,1052,46,-62,-69,0
2221,-9338,1077,82,-76,-62,0
2298,-9251,1084,69,-83,-63,0
2347,-9243,994,5,-76,-69,0
2345,-9316,805,-70,-51,-78,0
2346,-9410,653,-97,2,-85,0
2270,-9433,732,-61,55,-92,0
2205,-9274,943,-9,74,-96,0
2191,-9110,1130,18,59,-87,0
2244,-8964,1261,17,21,-64,0
2349,-8886,1243,-9,-33,-36,0
2394,-8839,1108,-35,-82,-3,0
2393,-8870,990,-49,-115,30,0
2347,-8960,889,-53,-123,64,0
2311,-9077,866,-55,-116,96,0
2260,-9256,829,-67,-109,116,0
2268,-9392,766,-83,-102,124,0
2336,-9500,715,-84,-89,119,0
2377,-9563,630,-72,-75,98,0
2351,-9541,532,-50,-65,74,0
2349,-9550,413,-24,-53,68,0
2312,-9590,331,14,-25,80,0
2294,-9575,395,61,14,94,0
2273,-9597,538,85,58,103,0
2175,-9610,724,76,88,103,0
2123,-9642,841,51,92,110,0
2144,-9720,961,33,88,114,0
2169,-9828,990,25,88,102,0
2128,-9891,1047,33,99,88,0
2060,-9906,1212,56,102,80,0
2033,-9873,1388,70,83,69,0
2030,-9850,1477,59,43,61,0
2112,-9848,1440,30,-3,46,0
2189,-9773,1270,2,-47,27,0
2250,-9652,1108,-10,-80,14,0
2256,-9543,966,-7,-93,18,0
2175,-9480,884,10,-90,43,0
2081,-9489,899,27,-86,72,0
1998,-9638,917,38,-83,98,0
2009,-9787,889,51,-78,101,0
2000,-9859,884,45,-68,77,0
1921,-9909,912,14,-39,47,0
1903,-9953,997,-22,-13,34,0
1987,-9937,1107,-56,-28,20,0
2104,-9901,1091,-86,-60,3,0
2112,-9851,951,-95,-87,-12,0
2065,-9808,711,-73,-99,-23,0
2084,-9790,521,-15,-87,-26,0
2120,-9718,477,56,-66,-17,0
2193,-9640,539,103,-30,-6,0
2193,-9640,539,103,-30,-6,0
2215,-9640,688,113,15,5,0
2193,-9723,926,78,46,13,0
2141,-9863,1061,9,58,0,0
2120,-9943,1127,-55,52,-22,0
2098,-9931,1146,-78,23,-42,0
2126,-9857,1083,-59,-14,-56,0
2148,-9753,969,-11,-50,-59,0
2130,-9663,834,45,-73,-42,0
2087,-9647,762,101,-75,-20,0
2148,-9690,780,131,-45,-6,0
2153,-9717,896,126,-1,-10,0
2032,-9732,1039,74,26,-36,0
2048,-9732,1143,-10,32,-70,0
2118,-9677,1189,-99,24,-98,0
2136,-9596,1118,-148,-3,-109,0
2163,-9547,975,-145,-54,-99,0
2285,-9529,762,-100,-100,-73,0
2309,-9562,566,-11,-107,-38,0
2225,-9618,532,91,-86,-12,0
2202,-9636,632,147,-69,2,0
2147,-9687,700,135,-43,1,0
2146,-9759,763,69,-3,-17,0
2183,-9850,810,-13,33,-46,0
2145,-9864,858,-79,51,-88,0
2200,-9745,896,-101,46,-113,0
2224,-9627,902,-96,26,-120,0
2233,-9488,888,-76,6,-116,0
2247,-9349,849,-36,-10,-98,0
2225,-9249,845,7,-25,-72,0
2169,-9210,827,50,-38,-36,0
2220,-9198,846,82,-44,0,0
2275,-9255,936,95,-39,23,0
2278,-9359,970,62,-31,22,0
2257,-9411,976,-8,-23,7,0
2213,-9504,943,-84,-17,0,0
2195,-9634,870,-136,-12,-3,0
2190,-9687,791,-137,-11,-11,0
2138,-9712,772,-87,-10,-11,0
2164,-9650,758,-22,-21,-4,0
2232,-9583,761,29,-31,5,0
2227,-9624,724,53,-27,9,0
2293,-9654,681,58,-9,9,0
2302,-9657,742,46,10,2,0
2223,-9659,817,10,23,-13,0
2172,-9698,846,-49,30,-24,0
2211,-9659,827,-98,26,-34,0
2238,-9599,833,-103,23,-39,0
2288,-9621,877,-83,16,-35,0
2399,-9549,906,-70,7,-35,0
2341,-9463,940,-53,8,-31,0
2274,-9475,958,-27,-3,-14,0
2288,-9488,917,-1,-26,9,0
2286,-9529,919,23,-33,20,0
2214,-9596,899,20,-39,14,0
2193,-9634,800,0,-44,15,0
2236,-9687,744,-7,-39,14,0
2244,-9721,773,-6,-28,5,0
2166,-9736,815,-2,-17,-3,0
2141,-9708,857,4,-23,-4,0
2154,-9674,863,9,-41,-3,0
2163,-9635,841,12,-51,-1,0
2190,-9557,798,8,-60,-10,0
2193,-9486,736,-3,-62,-16,0
2201,-9498,687,-11,-53,-6,0
2273,-9543,648,-15,-38,2,0
2328,-9634,599,-15,-20,0,0
2315,-9700,627,-5,8,-8,0
2296,-9656,650,7,23,-22,0
2270,-9610,702,17,29,-31,0
2255,-9545,729,22,28,-30,0
2293,-9458,701,26,9,-25,0
2369,-9361,652,31,-16,-15,0
2438,-9283,557,33,-23,1,0
2460,-9223,523,30,-15,20,0
2479,-9160,550,22,-6,38,0
2539,-9065,618,4,8,56,0
2548,-9022,697,-23,22,66,0
2555,-8960,711,-54,25,80,0
2686,-8937,703,-63,17,113,0
2810,-8955,729,-41,10,156,0
2942,-8947,755,-11,-14,201,0
3071,-9057,769,28,-38,276,0
3325,-9374,893,54,-47,361,0
3322,-9838,1049,41,-41,403,0
2771,-10592,1140,-5,-32,415,0
2068,-11542,1300,-80,-64,415,0
1258,-13030,1327,-110,-136,401,0
477,-15434,1107,-48,-205,271,0
290,-17763,917,148,-207,-107,0
189,-18730,768,451,-189,-600,0
-782,-19350,1333,694,-149,-1110,0
-782,-19350,1333,694,-149,-1110,0
-1242,-19491,2601,532,-88,-1701,0
-1236,-18981,3410,-51,-54,-2203,0
-1474,-18641,3284,-802,-95,-2615,0
-924,-18484,2066,-1404,-119,-3086,0
-526,-18162,603,-1586,-76,-3606,0
-890,-17981,-486,-1350,58,-4252,0
-1132,-17678,-966,-1000,323,-5023,0
-719,-15627,-568,-844,675,-5826,0
-890,-13303,172,-937,1012,-6578,0
-969,-10573,1327,-1330,1259,-7222,0
-824,-7988,2460,-1960,1278,-7630,0
-1082,-6457,2716,-2656,1155,-7908,0
-503,-4386,2947,-3293,1033,-8101,0
31,-2387,3278,-3802,818,-8063,0
386,-184,3347,-3966,439,-7954,0
621,2430,3392,-3693,-27,-7774,0
608,5440,2852,-3182,-532,-7639,0
-245,8487,1830,-2613,-772,-7515,0
652,16187,731,-2216,-723,-7295,0
2795,19656,-635,-1890,-356,-6284,0
3336,22489,-1628,-1322,260,-4553,0
4290,25360,-1089,-561,1104,-2411,0
6043,27037,337,174,1888,17,0
