aX,aY,aZ,gX,gY,gZ,target
-270,-785,-9760,-74,179,-130,0
-471,-901,-9478,-39,160,-78,0
-320,-994,-9107,-33,124,-92,0
-266,-1110,-8821,-53,22,-104,0
-383,-999,-8645,-83,-56,-126,0
-841,-131,-8929,128,60,-95,0
40,-81,-8051,929,566,-9,0
2950,-2661,-5399,1256,-62,22,0
130,-2329,-8527,62,-2432,-344,0
-1039,-1171,-9859,-655,-2177,-563,0
-1292,-477,-12251,-859,-1637,-482,0
-1258,1025,-12909,-1260,-482,-334,0
-280,945,-10287,-852,-5,-168,0
-562,-62,-9074,-514,-91,-54,0
-1121,-1237,-8690,-659,-132,22,0
-915,-1608,-9352,-912,-200,-14,0
-521,-1337,-11515,-894,-230,-58,0
-423,-68,-10842,-369,-115,-47,0
-800,-2,-9897,-11,-10,-29,0
-462,-424,-9592,82,20,-30,0
-556,-590,-9126,76,11,44,0
-815,-724,-8464,-69,-25,67,0
-275,-556,-8426,-418,-150,92,0
-332,-265,-8833,-774,-302,310,0
-1322,0,-11957,-990,-402,478,0
-1064,608,-11587,-224,-79,408,0
-737,-207,-7715,381,126,349,0
-1125,-496,-9698,-162,-50,298,0
-1046,372,-10512,-111,-34,104,0
-809,-164,-9040,208,59,28,0
-775,-466,-9270,16,5,31,0
-927,13,-9873,-52,-14,7,0
-766,-278,-9375,32,12,-5,0
-870,-93,-9682,-9,-4,0,0
-870,-93,-9682,-9,-4,0,0
-798,-231,-9443,18,5,-5,0
-834,-135,-9592,-6,0,-2,0
-823,-149,-9573,2,1,-2,0
-824,-152,-9547,4,0,-1,0
-823,-173,-9531,7,2,-3,0
-836,-155,-9573,1,1,-3,0
-824,-150,-9534,1,1,-3,0
-827,-160,-9526,1,2,-2,0
-822,-175,-9543,3,2,-2,0
-817,-166,-9555,2,2,-4,0
-847,-183,-9544,2,1,-3,0
-834,-156,-9555,2,0,-3,0
-822,-159,-9567,4,1,-2,0
-822,-166,-9545,3,2,-4,0
-823,-161,-9541,2,1,-4,0
-821,-148,-9563,1,1,-3,0
-821,-149,-9559,3,0,-3,0
-824,-156,-9542,3,1,-2,0
-822,-166,-9568,2,1,-2,0
-835,-166,-9569,2,0,-3,0
-816,-166,-9542,4,2,-3,0
-826,-143,-9550,1,2,-2,0
-818,-148,-9555,1,1,-2,0
-828,-160,-9537,3,2,-1,0
-818,-165,-9528,3,2,-3,0
-835,-164,-9545,3,1,-2,0
-842,-179,-9566,2,2,-2,0
-830,-175,-9538,2,1,-3,0
-817,-168,-9539,3,1,-4,0
-826,-175,-9562,3,3,-4,0
-824,-160,-9551,2,2,-2,0
-830,-162,-9538,2,2,-3,0
-829,-149,-9548,2,0,-3,0
-822,-146,-9544,2,2,-3,0
-816,-160,-9549,2,2,-4,0
-811,-160,-9550,2,2,-4,0
-824,-171,-9565,2,1,-4,0
-830,-167,-9556,2,2,-4,0
-823,-154,-9545,3,2,-4,0
-817,-169,-9573,2,2,-2,0
-828,-160,-9550,3,2,-1,0
-832,-160,-9526,2,2,-2,0
-828,-166,-9566,2,2,-2,0
-826,-165,-9579,3,2,-3,0
-829,-172,-9535,2,2,-3,0
-840,-159,-9531,3,2,-2,0
-818,-154,-9550,3,1,-3,0
-806,-154,-9550,3,0,-2,0
-827,-156,-9541,2,1,-3,0
-824,-165,-9541,3,2,-4,0
-811,-164,-9557,3,2,-4,0
-816,-179,-9553,4,1,-3,0
-824,-156,-9543,3,2,-2,0
-830,-165,-9556,2,2,-4,0
-821,-162,-9556,2,3,-4,0
-822,-156,-9543,4,3,-3,0
-834,-166,-9539,3,1,-2,0
-841,-154,-9549,2,2,-3,0
-840,-159,-9547,3,1,-3,0
-829,-161,-9549,4,2,-3,0
-821,-160,-9565,3,2,-4,0
-827,-149,-9548,3,2,-2,0
-833,-159,-9535,4,2,-1,0
-839,-167,-9550,2,1,-3,0
-827,-159,-9551,3,2,-3,0
-822,-159,-9539,3,2,-3,0
-824,-153,-9549,2,2,-3,0
-828,-154,-9554,1,0,-3,0
-828,-161,-9555,2,2,-4,0
-823,-166,-9551,2,2,-4,0
-826,-173,-9551,3,2,-3,0
-837,-166,-9561,3,1,-3,0
-814,-174,-9550,2,1,-2,0
-821,-149,-9532,1,1,-3,0
-829,-150,-9551,3,1,-2,0
-832,-158,-9551,3,2,-3,0
-823,-161,-9541,3,1,-2,0
-832,-172,-9547,2,2,-2,0
-827,-161,-9561,3,2,-3,0
-828,-144,-9549,5,2,-3,0
-809,-152,-9557,4,2,-2,0
-814,-152,-9555,2,2,-2,0
-830,-166,-9543,3,1,-3,0
-829,-173,-9543,3,1,-3,0
-824,-175,-9557,4,1,-2,0
-828,-165,-9560,3,2,-4,0
-828,-161,-9545,2,2,-4,0
-827,-155,-9561,3,3,-3,0
-812,-156,-9565,3,1,-2,0
-834,-166,-9567,3,1,-2,0
-828,-159,-9537,3,1,-2,0
-828,-159,-9537,3,1,-2,0
-808,-158,-9555,3,1,-4,0
-818,-162,-9571,3,2,-2,0
-822,-154,-9551,2,2,-2,0
-839,-152,-9551,1,0,-2,0
-830,-150,-9550,2,2,-2,0
-821,-179,-9545,2,3,-4,0
-828,-174,-9554,2,2,-2,0
-826,-180,-9569,3,2,-3,0
-823,-166,-9542,4,2,-2,0
-837,-166,-9545,3,2,-3,0
-832,-166,-9565,3,3,-4,0
-830,-167,-9560,3,3,-2,0
-828,-154,-9556,3,2,-2,0
-830,-155,-9541,3,2,-2,0
-828,-168,-9553,3,2,-2,0
-833,-166,-9554,2,2,-4,0
-828,-147,-9548,2,1,-4,0
-826,-156,-9567,3,1,-3,0
-839,-169,-9548,3,2,-4,0
-832,-166,-9530,2,2,-3,0
-823,-149,-9557,2,1,-2,0
-835,-156,-9559,3,2,-2,0
-837,-169,-9547,3,1,-3,0
-817,-173,-9539,3,2,-3,0
-827,-158,-9563,3,2,-3,0
-835,-165,-9568,5,2,-3,0
-830,-156,-9545,3,1,-2,0
-824,-153,-9530,2,2,-3,0
-822,-164,-9566,2,2,-3,0
-822,-150,-9555,3,1,-3,0
-816,-160,-9542,2,2,-3,0
-829,-152,-9544,3,2,-1,0
-830,-162,-9563,3,2,-3,0
-834,-152,-9544,4,2,-3,0
-820,-165,-9557,3,1,-4,0
-824,-160,-9565,2,1,-3,0
-835,-162,-9549,3,1,-2,0
-834,-168,-9555,3,2,-2,0
-822,-159,-9568,3,2,-2,0
-816,-165,-9550,3,2,-3,0
-826,-168,-9544,3,2,-1,0
-833,-154,-9560,2,1,-3,0
-835,-154,-9561,1,1,-4,0
-842,-156,-9550,2,1,-2,0
-837,-155,-9539,2,2,-3,0
-836,-159,-9559,3,2,-3,0
-828,-166,-9556,3,2,-3,0
-815,-164,-9550,2,1,-2,0
-814,-165,-9538,2,2,-3,0
-824,-161,-9549,2,1,-4,0
-835,-173,-9547,3,1,-3,0
-842,-164,-9544,2,1,-3,0
-851,-166,-9551,2,1,-3,0
-820,-160,-9556,3,2,-2,0
-822,-149,-9547,3,1,-4,0
-835,-159,-9539,3,0,-3,0
-826,-169,-9550,3,1,-3,0
-841,-150,-9553,3,1,-4,0
-843,-153,-9545,3,2,-4,0
-823,-175,-9557,2,0,-3,0
-834,-161,-9548,2,1,-3,0
-834,-161,-9549,2,2,-3,0
-821,-158,-9561,3,2,-3,0
-818,-180,-9534,3,1,-3,0
-839,-177,-9529,-3,-2,-2,0
-822,-172,-9510,-7,-2,0,0
-774,-134,-9459,-26,-7,10,0
-723,-51,-9586,-60,-17,41,0
-747,-136,-9787,-27,-9,92,0
-863,-190,-9617,72,17,131,0
-917,-249,-9352,91,25,129,0
-909,-175,-9426,-1,0,95,0
-869,-74,-9644,-53,-10,31,0
-865,-70,-9677,-13,0,0,0
-836,-161,-9579,30,10,-3,0
-814,-211,-9495,30,7,-3,0
-799,-189,-9501,4,0,-1,0
-829,-142,-9561,-12,-3,-1,0
-837,-131,-9616,-1,1,-2,0
-833,-144,-9560,18,5,-2,0
-816,-174,-9482,20,6,-4,0
-799,-164,-9513,1,1,-3,0
-836,-140,-9580,-12,-2,-2,0
-847,-129,-9585,-1,2,-2,0
-845,-172,-9519,9,4,-2,0
-836,-173,-9529,2,2,-3,0
-824,-149,-9585,-4,0,-3,0
-826,-166,-9563,2,1,-5,0
-826,-207,-9541,3,1,-2,0
-834,-166,-9555,-8,0,-2,0
-834,-166,-9555,-8,0,-2,0
-833,-124,-9605,-9,-1,-2,0
-823,-154,-9565,7,3,-4,0
-811,-169,-9505,10,2,-2,0
-821,-153,-9542,-1,0,-2,0
-830,-120,-9603,-1,0,-2,0
-817,-154,-9572,8,3,-3,0
-820,-147,-9523,10,2,-4,0
-827,-149,-9543,5,1,-2,0
-824,-159,-9575,3,2,-3,0
-842,-159,-9567,6,3,-3,0
-847,-152,-9542,8,1,-4,0
-847,-155,-9525,7,2,-4,0
-835,-158,-9539,6,3,-4,0
-843,-161,-9530,3,1,-3,0
-840,-149,-9544,1,1,-4,0
-824,-153,-9555,2,2,-2,0
-817,-165,-9547,4,2,-1,0
-822,-164,-9557,3,2,-3,0
-821,-160,-9545,2,0,-3,0
-806,-144,-9547,2,1,-2,0
-805,-172,-9547,3,2,-2,0
-823,-168,-9556,2,1,-3,0
-816,-148,-9555,2,1,-1,0
-828,-158,-9554,4,2,-3,0
-835,-156,-9535,3,2,-4,0
-835,-153,-9541,3,2,-3,0
-859,-160,-9557,4,2,-3,0
-846,-148,-9531,5,1,-3,0
-827,-156,-9567,10,3,-4,0
-826,-165,-9566,3,2,-3,0
-829,-169,-9583,3,1,-2,0
-826,-166,-9539,12,4,-3,0
-817,-181,-9525,9,3,-3,0
-823,-152,-9544,0,1,-3,0
-816,-142,-9553,3,1,-3,0
-812,-166,-9539,7,3,-3,0
-821,-146,-9577,2,1,-4,0
-808,-159,-9549,3,1,-4,0
-834,-159,-9545,3,2,-2,0
-846,-146,-9604,0,1,-3,0
-846,-161,-9578,0,0,-1,0
-858,-156,-9525,5,1,-2,0
-847,-153,-9549,3,2,-5,0
-839,-149,-9567,0,2,-3,0
-828,-159,-9541,5,2,-2,0
-845,-154,-9550,3,3,-2,0
-832,-159,-9555,3,2,-3,0
-815,-161,-9543,4,3,-3,0
-818,-153,-9528,2,1,-3,0
-796,-174,-9542,4,1,-2,0
-798,-162,-9571,2,0,-2,0
-809,-171,-9532,4,2,-3,0
-817,-165,-9562,3,0,-2,0
-817,-158,-9579,2,0,-2,0
-832,-160,-9520,4,0,-3,0
-837,-149,-9534,1,1,-2,0
-848,-150,-9569,0,2,-2,0
-846,-160,-9567,2,3,-4,0
-840,-147,-9560,1,0,-3,0
-835,-149,-9553,4,0,-2,0
-834,-155,-9545,4,2,-2,0
-814,-152,-9554,0,2,-3,0
-817,-173,-9538,1,2,-2,0
-811,-156,-9557,-8,0,-1,0
-832,-126,-9616,-4,0,-1,0
-811,-159,-9559,13,4,-3,0
-800,-195,-9518,12,4,-5,0
-810,-179,-9550,-3,0,-2,0
-843,-156,-9579,-4,-1,-3,0
-843,-154,-9573,4,0,-3,0
-840,-158,-9536,6,2,-3,0
-847,-154,-9526,0,0,-1,0
-848,-142,-9551,-1,0,-2,0
-845,-148,-9561,4,2,-3,0
-836,-153,-9561,4,2,-4,0
-835,-148,-9547,1,2,-4,0
-824,-154,-9565,1,2,-2,0
-826,-166,-9551,3,2,-3,0
-834,-160,-9528,7,3,-3,0
-808,-156,-9544,3,2,-3,0
-809,-152,-9556,0,1,-3,0
-808,-164,-9551,5,1,-3,0
-814,-178,-9544,5,1,-3,0
-821,-171,-9539,2,1,-3,0
