t_s,media_mA,min_mA,max_mA,n
33.93,35.2127,2.2897,62.0073,10240
34.03,34.5598,2.2717,61.6063,9728
34.13,33.5887,2.3659,61.6063,10240
34.23,26.6803,2.3929,63.2136,10240
34.33,37.2999,23.9102,64.0207,9728
34.43,36.9511,24.1558,63.6745,10240
34.53,37.1988,23.6649,63.8475,10240
34.63,36.7383,24.1067,63.2712,9728
34.73,37.1947,24.1558,63.3864,10240
34.83,37.0952,24.2542,63.1561,9728
34.93,37.0964,24.2050,63.0410,10240
35.03,37.1125,23.5669,63.0985,10240
35.13,36.8457,23.4199,67.9471,9728
35.24,37.6789,23.8121,63.2712,10240
35.34,37.9009,24.1558,63.5016,10240
35.44,37.9674,24.3033,62.9835,10240
35.54,37.5466,24.1067,63.2712,9728
35.64,37.5668,24.2050,63.5592,10240
35.74,37.9927,23.9102,63.5592,10240
35.84,37.4926,24.0084,63.6745,9728
35.94,37.9345,23.7140,63.9052,10240
36.04,36.3990,24.1067,64.4829,10240
36.14,34.2537,24.0084,64.3095,10240
36.24,34.3011,23.9593,63.0410,9728
36.35,35.0795,24.0576,63.7899,10240
36.45,34.2235,23.5669,63.5592,10240
36.55,34.7236,23.8612,63.4440,9728
36.65,34.4820,24.0084,64.3672,10240
36.75,34.2779,23.7140,64.1939,10240
36.85,34.1885,24.0084,63.9630,9728
36.95,33.8079,23.7630,64.5407,10240
37.05,34.9841,23.3220,63.8475,10240
37.15,34.7324,24.1558,64.7721,9728
37.25,34.3190,23.6159,64.5407,10240
37.35,34.5017,23.9593,64.3095,10240
37.45,34.5781,24.3033,64.5985,9728
37.56,34.9922,23.4199,64.1939,10240
37.66,34.0068,23.8612,64.1939,10240
37.76,34.8322,23.6159,63.8475,9728
37.86,34.5973,23.7140,63.9052,10240
37.96,34.6751,23.8612,64.3095,10240
38.06,35.4985,24.0576,63.5016,9728
38.16,35.7344,24.2050,64.9240,10240
38.26,35.1725,24.1067,64.4829,10240
38.36,35.5868,24.2542,64.3095,9728
38.46,35.4112,23.9593,63.9630,10240
38.56,35.8880,23.9102,63.5016,10240
38.66,35.3155,23.9593,64.3672,9728
38.76,35.4411,23.7630,63.5016,10240
38.86,35.4194,24.2542,64.4250,10240
38.96,35.5240,24.1067,63.9052,9728
39.06,35.4451,23.8612,63.9052,10240
39.17,35.3202,23.7140,65.6796,9728
39.27,35.6606,24.2050,63.9052,10240
39.37,34.6702,24.3525,65.6796,10240
39.47,35.1177,23.9593,63.8475,9728
39.57,34.8405,23.8612,64.1362,10240
39.67,34.9425,24.1558,64.2517,10240
39.77,34.9349,23.8612,63.8475,9728
39.87,34.2066,23.9593,63.7322,10240
39.97,35.0536,23.8612,64.3672,10240
40.07,34.5943,24.0576,64.1939,9728
40.17,33.9562,23.8121,71.7284,10240
40.27,35.0143,23.7630,64.3095,9728
40.37,34.5569,24.0084,64.0207,10240
40.47,34.1267,23.8612,64.0207,9728
40.57,34.6466,24.0084,65.6796,10240
40.67,34.5577,24.0084,63.6745,10240
40.77,34.8534,23.7140,64.3095,10240
40.87,33.8819,23.8121,64.4829,9728
40.97,34.9816,24.1558,64.3095,10240
41.08,34.6960,23.8612,63.9630,10240
41.18,34.4863,23.8121,65.6796,9728
41.28,34.3819,23.7140,64.7721,10240
41.38,34.6769,23.9102,64.2517,10240
41.48,34.9491,23.9102,64.9240,9728
41.58,33.8191,23.8612,63.3864,10240
41.68,35.0248,23.9102,64.1939,9728
41.78,34.5796,24.0576,64.5985,10240
41.88,34.2467,24.1558,64.3672,10240
41.98,34.5708,24.1558,65.6796,9728
42.08,34.5854,24.0576,63.7322,10240
42.18,34.3035,23.8612,64.7142,9728
42.28,34.6365,23.7140,63.7899,10240
42.38,34.5918,23.5179,63.4440,10240
42.48,35.0213,24.0576,63.9630,9728
42.58,33.8220,23.8612,64.1362,10240
42.68,34.9989,23.6159,64.1684,10240
42.78,34.6163,23.8121,64.0784,9728
42.88,34.0314,24.0084,63.7322,10240
42.98,34.8436,23.9102,64.1684,9728
43.08,34.4516,23.9102,64.2517,10240
43.18,35.1117,23.4199,64.1362,10240
43.29,34.1581,24.0576,64.3095,9728
43.39,34.6173,23.6159,64.4829,10240
43.49,34.5936,23.8612,64.5407,10240
43.59,34.2547,23.6159,63.9630,9728
43.69,34.5361,23.8612,64.7142,10240
43.79,34.5208,23.8121,64.1362,9728
43.89,35.0060,23.8612,63.9630,10240
43.99,33.9463,23.8612,64.1362,10240
44.09,34.3743,23.8121,63.7899,9728
44.19,35.1899,23.7140,64.1939,10240
44.29,34.2773,23.8612,63.9630,9728
44.39,34.8408,23.9593,63.7899,10240
44.49,34.2318,23.7140,64.5985,10240
44.59,34.5832,23.5179,64.0207,9728
44.69,34.7090,23.6649,64.1362,10240
44.79,34.0402,23.5179,63.7899,9728
44.89,34.9902,23.8612,64.3095,10240
44.99,34.6371,23.7140,64.4829,10240
45.09,34.8025,23.8612,64.0784,9728
45.19,34.5365,23.5179,64.9240,10240
45.29,34.8221,24.0084,64.0784,10240
45.40,34.7658,24.0576,64.1939,9728
45.50,34.3253,23.7630,63.5592,10240
45.60,35.2021,22.9307,63.8475,10240
45.70,34.5095,23.5179,63.7899,9728
45.80,34.8192,23.3220,63.5016,10240
45.90,34.4981,23.7140,63.6169,10240
46.00,34.7031,23.9593,63.9630,9728
46.10,34.4652,24.0084,64.3095,10240
46.20,32.8658,2.2315,63.7899,9728
46.30,30.2744,2.4605,62.6385,10240
46.40,35.2060,2.4154,62.9259,10240
46.50,35.3551,2.3929,61.9500,9728
46.60,29.9504,2.4019,61.7781,10240
46.70,31.9827,2.4154,61.4918,10240
46.80,35.0398,2.2583,61.5491,9728
46.90,34.5198,2.4154,61.7208,10240
47.00,34.8917,2.1333,61.4346,9728
47.10,34.7233,2.3659,61.7208,10240
47.21,34.5158,2.3031,62.4662,10240
47.31,32.2515,2.4650,61.6635,9728
47.41,34.6853,2.3210,62.8684,10240
47.51,34.5016,2.2494,61.6063,10240
47.61,34.8611,2.3210,61.7208,9728
47.71,34.3145,2.2583,61.8354,10240
47.81,34.6017,2.2538,61.3774,10240
47.91,25.8942,2.3480,43.0214,9728
48.01,29.3200,2.1555,61.4346,10240
48.11,34.4426,2.2762,61.6635,10240
48.21,34.9094,2.4605,63.9052,9728
48.31,34.4046,2.1422,61.3774,10240
48.41,33.1610,2.3121,61.6635,10240
48.51,30.7274,2.2628,60.6348,9728
48.62,34.5636,2.2180,61.1487,10240
48.72,34.6330,2.4379,61.1487,10240
48.82,27.9707,2.3749,61.0916,10240
48.92,30.6468,2.2628,61.1487,9728
49.02,32.8158,1.9645,61.0916,10240
49.12,34.5317,2.1779,61.6063,10240
49.22,34.7975,1.9689,61.6063,9728
49.32,33.0900,2.3031,61.2630,10240
49.42,32.3213,2.4154,62.1793,10240
49.52,35.0935,2.1912,62.2941,10240
49.62,35.4268,2.4605,62.0073,9728
49.72,35.0633,2.3615,62.1793,10240
49.82,35.4644,2.3480,62.0646,9728
49.93,35.1882,2.2494,62.5237,10240
50.03,35.0501,2.4064,62.2941,10240
50.13,35.4790,2.2852,62.1220,9728
50.23,35.2625,2.3659,64.9240,10240
50.33,35.0519,2.5735,62.3514,10240
50.43,35.3903,2.4740,62.6385,10240
50.53,35.7376,2.3659,62.6385,9728
50.63,35.0604,2.3435,62.2367,10240
50.73,35.3963,2.3884,62.0073,9728
50.83,35.2755,2.4470,62.2367,10240
50.93,35.1231,2.3794,62.5811,10240
51.03,35.4007,2.5418,62.2941,9728
51.13,35.2492,2.3210,62.1793,10240
51.23,35.1537,2.3210,62.2941,10240
51.33,35.3608,2.4334,62.3514,9728
51.43,35.2366,2.2986,62.2367,10240
51.54,35.2229,2.1779,62.7535,10240
51.64,35.1915,2.3166,62.4662,9728
51.74,35.5298,2.3210,62.7535,10240
51.84,35.0742,2.2897,62.2941,9728
51.94,35.7979,2.4921,63.2136,10240
52.04,29.5736,1.3475,62.0646,10240
52.14,30.8993,2.2986,60.1218,9728
52.24,30.9608,2.2852,60.9202,10240
52.34,30.9025,2.3480,59.3825,10240
52.44,30.7073,1.4428,59.3825,9728
52.54,30.7042,2.2225,59.1554,10240
52.64,31.0138,2.4019,60.3497,10240
52.74,30.1871,0.2215,59.9511,9728
52.84,30.9075,2.1689,60.5778,10240
52.94,31.1565,2.2002,59.5530,10240
53.04,30.8049,2.3704,59.3257,9728
53.15,31.0070,2.4019,61.3774,10240
53.25,30.9874,2.3839,61.3774,10240
53.35,30.9435,2.2494,59.0987,9728
53.45,30.7320,2.3031,60.6919,10240
53.55,31.1945,2.2449,60.4637,9728
53.65,30.8305,2.3929,59.2690,10240
53.75,31.0409,2.2494,59.8373,10240
53.85,30.9104,2.2717,59.9511,9728
53.95,31.0691,2.0088,59.7235,10240
54.05,31.3181,2.1065,59.9511,9728
54.15,30.8232,2.1466,60.4067,10240
54.25,30.9900,2.3210,59.8942,10240
54.35,30.9883,2.3390,59.6667,9728
54.45,30.8470,2.2628,60.5207,10240
54.55,31.1378,2.4425,60.0649,10240
54.65,30.9026,2.4019,59.5530,9728
54.75,31.0094,2.2673,60.3497,10240
54.85,29.3315,2.3659,59.5530,9728
54.95,32.0116,14.3218,48.7443,10240
55.05,38.5747,29.2792,45.3813,10240
55.15,34.0548,2.5192,57.4581,9728
55.25,37.2635,23.6649,63.6745,10240
55.35,37.0736,24.1067,63.4130,10240
55.46,37.1002,23.8121,63.3864,9728
55.56,36.8707,23.9593,63.6745,10240
55.66,37.0662,23.9102,62.8684,9728
55.76,37.0965,23.9102,62.8684,10240
55.86,37.0160,23.6159,65.6796,10240
55.96,37.5742,23.8612,63.6169,10240
56.06,37.5405,23.9593,63.7899,9728
56.16,37.7648,24.1558,63.3864,10240
56.26,37.5709,24.2050,63.7322,9728
56.36,37.3861,24.0576,63.7322,10240
56.46,37.4800,23.8121,63.4440,9728
