t_s,media_mA,min_mA,max_mA,n
6.12,36.1439,24.0084,63.0410,2048
6.14,37.4975,24.2542,62.6960,2048
6.16,36.5393,23.6649,62.5811,2048
6.18,36.4572,23.9593,62.5811,2048
6.20,36.2551,24.0576,62.2367,2048
6.22,37.9517,24.2542,62.0646,2048
6.24,36.7634,23.9593,62.0646,2048
6.26,37.3892,24.0576,62.2941,2048
6.28,36.3390,24.3033,62.4662,2048
6.30,36.2776,23.8121,62.8110,2048
6.32,37.0478,24.2542,62.8684,2048
6.35,36.9176,23.8121,62.1220,2048
6.37,36.9931,24.2542,63.0985,2560
6.39,36.3230,24.2542,62.6385,2048
6.41,36.3546,23.9102,61.7781,2048
6.43,36.9789,24.1067,62.4088,2048
6.45,37.6216,24.2050,62.0073,2048
6.47,35.5715,24.1067,62.0646,2048
6.49,36.4625,24.2050,63.3288,2048
6.51,37.4667,24.2050,61.8354,2048
6.53,37.2281,24.2542,62.2941,2048
6.55,37.2275,24.0084,62.6385,2048
6.57,36.5520,23.9593,62.6385,2048
6.59,36.1076,24.0084,62.2941,2048
6.62,36.6132,24.0576,62.9835,2048
6.64,37.3779,23.9593,62.1793,2048
6.66,37.2954,24.2542,64.9240,2048
6.68,35.6921,23.9593,62.9259,2048
6.70,37.9427,24.2050,62.5237,2048
6.72,37.4704,24.1558,63.0985,2048
6.74,37.9479,24.1558,62.8110,2048
6.76,36.6183,23.8612,61.9500,2048
6.78,37.5459,24.3033,62.1220,2048
6.80,37.3897,24.2050,62.1220,2048
6.82,37.6300,24.3033,63.3288,2048
6.84,37.4231,24.1558,63.0985,2048
6.86,37.7257,24.1558,63.2712,2048
6.88,37.2375,23.8121,63.2136,2560
6.90,37.5335,24.0576,62.5237,2048
6.92,37.3657,23.9593,62.9835,2048
6.95,37.6074,23.6649,63.7899,2048
6.97,37.3873,24.1067,63.4440,2048
6.99,37.7389,24.0084,62.5811,2048
7.01,37.6713,24.0084,63.5592,2048
7.03,37.6734,24.0576,62.9259,2048
7.05,37.1922,24.4509,63.3864,1536
7.07,37.4827,24.0084,63.2712,2048
