ax,ay,az,gx,gy,gz,temp,hum,pres,class
494417.0,-207104.0,10015251.0,532.0,-6391.0,-2663.0,20290000.0,56755000.0,100930000.0,0
506389.0,-193936.0,9994899.0,1597.0,-5326.0,-2663.0,20290000.0,56755000.0,100930000.0,0
503994.0,-173584.0,10004476.0,1597.0,-3728.0,-3728.0,20290000.0,56755000.0,100930000.0,0
506389.0,-154430.0,10000885.0,1597.0,-4261.0,-3728.0,20290000.0,56755000.0,100930000.0,0
506389.0,-183162.0,10003279.0,-532.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
483643.0,-198724.0,10006871.0,532.0,-5859.0,-1597.0,20290000.0,56755000.0,100930000.0,0
515966.0,-187950.0,9962577.0,1597.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
477657.0,-150839.0,9982928.0,2130.0,-3728.0,-3195.0,20290000.0,56755000.0,100930000.0,0
483643.0,-122108.0,10009265.0,1597.0,-5859.0,-1597.0,20290000.0,56755000.0,100930000.0,0
489629.0,-179570.0,9997294.0,0.0,-3728.0,-1597.0,20290000.0,56755000.0,100930000.0,0
484840.0,-204710.0,10003279.0,-532.0,-4793.0,-2130.0,20290000.0,56755000.0,100930000.0,0
493220.0,-180767.0,9988914.0,1597.0,-3195.0,-2663.0,20290000.0,56755000.0,100930000.0,0
482446.0,-123305.0,9994899.0,1065.0,-4261.0,-2663.0,20290000.0,56755000.0,100930000.0,0
496812.0,-131685.0,10016448.0,-2130.0,-3728.0,-3728.0,20290000.0,56755000.0,100930000.0,0
512374.0,-211893.0,10017645.0,-3728.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
500403.0,-234638.0,10009265.0,-1065.0,-4261.0,-4793.0,20290000.0,56755000.0,100930000.0,0
502797.0,-158022.0,9991308.0,1065.0,-3728.0,-3728.0,20290000.0,56755000.0,100930000.0,0
470474.0,-112530.0,9996096.0,1065.0,-4793.0,-3195.0,20290000.0,56755000.0,100930000.0,0
487234.0,-165204.0,10008068.0,-2663.0,-4793.0,-3728.0,20290000.0,56755000.0,100930000.0,0
500403.0,-232244.0,10002082.0,-3728.0,-5326.0,-2130.0,20290000.0,56755000.0,100930000.0,0
512374.0,-192739.0,10005674.0,532.0,-4261.0,-3195.0,20290000.0,56755000.0,100930000.0,0
