acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
5649,-1641,7929,6,-2,8,3
5669,-1618,7927,-1,-10,1,3
5687,-1625,7903,-13,-13,5,3
5685,-1735,7842,-11,-13,3,3
5661,-1760,7788,-2,-10,-13,3
5656,-1702,7749,0,-5,-17,3
5670,-1642,7792,3,6,-12,3
5682,-1598,7874,9,11,-7,3
5686,-1588,7921,11,11,-1,3
5682,-1595,7935,12,11,5,3
5640,-1717,7931,6,5,-11,3
5639,-1677,7895,0,-5,-35,3
5661,-1586,7873,0,-5,-32,3
5675,-1550,7869,4,0,-30,3
5674,-1502,7907,3,3,-23,3
5682,-1465,7993,0,6,-10,3
5678,-1460,8059,8,3,6,3
5673,-1479,8068,13,-5,21,3
5681,-1580,8016,7,-22,21,3
5681,-1619,7927,-3,-31,24,3
5703,-1705,7795,-5,-29,21,3
5703,-1789,7710,-10,-27,-3,3
5729,-1738,7646,-18,-26,-18,3
5759,-1685,7609,-4,-14,-17,3
5778,-1626,7576,11,-1,-11,3
5742,-1630,7599,15,9,-9,3
5707,-1638,7650,23,22,-15,3
5672,-1559,7759,30,30,-17,3
5686,-1482,7848,22,30,-7,3
5700,-1527,7923,15,28,-13,3
5642,-1531,7987,13,27,-28,3
5667,-1436,8101,12,28,-19,3
5698,-1400,8166,14,19,-1,3
5680,-1422,8156,15,4,17,3
5660,-1526,8118,15,-7,24,3
5656,-1558,8054,9,-19,29,3
5662,-1589,7984,4,-19,35,3
5687,-1632,7938,3,-16,34,3
5691,-1634,7911,-1,-17,40,3
5694,-1692,7907,1,-17,42,3
5705,-1788,7875,5,-20,34,3
5658,-1853,7838,11,-21,10,3
5646,-1824,7796,9,-22,-5,3
5644,-1741,7771,5,-23,-6,3
5685,-1667,7761,9,-14,-5,3
5709,-1643,7752,10,-5,-3,3
5689,-1625,7799,14,1,-7,3
5691,-1580,7842,20,4,1,3
5697,-1567,7836,30,8,4,3
5681,-1546,7834,24,8,3,3
5650,-1568,7861,4,7,1,3
5630,-1571,7893,-9,7,-6,3
5620,-1534,7956,-17,5,-2,3
5599,-1568,7995,-12,3,3,3
5595,-1592,7981,2,-2,13,3
5618,-1620,7945,13,-3,18,3
5618,-1620,7945,13,-3,18,3
5626,-1637,7958,14,-2,17,3
5627,-1619,7971,6,-3,26,3
5644,-1658,7937,3,-6,30,3
5651,-1751,7920,-1,-10,27,3
5614,-1817,7878,0,-11,5,3
5572,-1763,7850,3,-9,-14,3
5633,-1667,7856,3,-7,-18,3
5646,-1599,7903,4,9,1,3
5646,-1599,7903,4,9,1,3
5691,-1580,7903,2,7,9,3
5697,-1631,7855,7,4,5,3
5704,-1622,7800,-1,4,4,3
5698,-1660,7831,-11,7,9,3
5638,-1764,7896,-13,9,0,3
5604,-1739,7956,-11,5,-4,3
5638,-1684,7983,-5,4,-1,3
5662,-1684,7978,-3,0,1,3
5644,-1674,7993,-8,-3,2,3
5636,-1689,7939,-6,-6,9,3
5644,-1698,7868,1,-7,4,3
5645,-1617,7844,4,-5,-2,3
5663,-1569,7850,3,-3,0,3
5666,-1612,7829,7,-3,-10,3
5649,-1614,7786,12,-2,-16,3
5657,-1593,7773,5,2,-18,3
5674,-1581,7786,-3,6,-21,3
5715,-1521,7782,-8,6,-14,3
5724,-1505,7807,-5,11,-2,3
5707,-1552,7862,-2,14,10,3
5679,-1567,7927,0,18,23,3
5627,-1626,8031,14,6,19,3
5596,-1622,8039,5,1,13,3
5587,-1678,8056,0,-5,12,3
5601,-1701,8047,2,-15,2,3
5624,-1661,7965,6,-23,-4,3
5663,-1616,7887,9,-26,5,3
5703,-1632,7818,3,-22,17,3
5697,-1698,7764,2,-18,23,3
5652,-1755,7761,9,-9,22,3
5645,-1796,7799,15,-3,9,3
5610,-1720,7877,14,-2,-7,3
5620,-1665,7917,15,-5,-14,3
5634,-1664,7881,19,-6,-26,3
5642,-1616,7889,8,-8,-33,3
5654,-1553,7874,1,-7,-36,3
5650,-1500,7829,4,-6,-26,3
5709,-1485,7810,12,0,-12,3
5666,-1497,7795,23,10,0,3
5632,-1517,7860,21,15,16,3
5639,-1602,7945,17,13,24,3
5603,-1681,7992,14,9,18,3
5596,-1731,8010,5,0,-3,3
5610,-1701,7984,1,-5,-23,3
5673,-1622,7945,-3,-7,-25,3
5680,-1605,7922,-4,-5,-15,3
5646,-1620,7899,-1,-4,-1,3
5645,-1670,7933,4,-3,10,3
5674,-1664,7922,12,-6,21,3
5658,-1681,7878,21,-5,15,3
5627,-1719,7929,9,-1,-10,3
5637,-1642,8008,-7,-2,-30,3
5662,-1550,8035,-4,-5,-28,3
5678,-1555,8001,1,-10,-21,3
5695,-1575,7937,4,-14,-18,3
5676,-1562,7887,2,-11,-13,3
5646,-1569,7884,0,-9,-6,3
5643,-1582,7883,0,-9,2,3
5678,-1599,7840,-6,-13,12,3
5676,-1650,7804,-10,-10,3,3
5645,-1662,7826,-11,-4,-11,3
5627,-1635,7881,-8,0,-18,3
5614,-1613,7911,-4,-1,-18,3
5610,-1626,7896,-1,-10,-14,3
5626,-1631,7887,6,-9,-12,3
5616,-1593,7852,2,-10,-7,3
5654,-1574,7811,-2,-13,0,3
5664,-1539,7756,0,-11,1,3
5687,-1486,7690,1,-1,6,3
5718,-1464,7727,-3,10,9,3
5692,-1552,7848,-7,14,7,3
5672,-1665,7953,0,13,-10,3
5687,-1606,7968,13,12,-16,3
5722,-1532,7934,10,9,-17,3
5684,-1526,7956,0,7,-13,3
5663,-1562,7986,0,7,-4,3
5608,-1595,7983,0,3,4,3
5637,-1592,8010,5,-1,9,3
5667,-1559,8031,15,-4,6,3
5645,-1537,8051,19,-6,-1,3
5630,-1532,8083,18,-10,0,3
5649,-1552,8062,6,-22,12,3
5663,-1619,7960,-3,-35,18,3
5637,-1656,7835,-9,-38,17,3
5682,-1697,7741,-9,-32,21,3
5667,-1781,7753,-1,-24,13,3
5652,-1750,7771,6,-18,0,3
5661,-1671,7804,10,-10,-2,3
5652,-1628,7875,13,-5,-2,3
5654,-1569,7905,7,-3,-3,3
5640,-1567,7938,0,-4,-1,3
5640,-1567,7938,0,-4,-1,3
5640,-1607,7935,5,-6,-7,3
5637,-1559,7883,8,-6,-8,3
5651,-1532,7855,1,-7,-3,3
5673,-1549,7832,-7,-6,5,3
5676,-1613,7844,-9,-3,9,3
5670,-1625,7858,-8,1,5,3
5660,-1623,7891,-6,4,3,3
5654,-1605,7938,-3,5,5,3
5649,-1628,7947,-4,1,10,3
5636,-1686,7944,-1,0,2,3
5613,-1659,7932,0,-3,1,3
5648,-1691,7914,-4,-8,1,3
5649,-1679,7881,-4,-9,-2,3
5662,-1661,7925,-6,-2,-4,3
5633,-1695,7971,-2,-3,-9,3
5622,-1721,7953,1,-9,-19,3
5646,-1649,7939,2,-11,-23,3
5662,-1559,7868,4,-14,-19,3
5701,-1543,7842,3,-13,-8,3
5713,-1583,7832,-2,-6,-5,3
5705,-1586,7862,-4,1,-14,3
5680,-1541,7896,-3,2,-16,3
5666,-1502,7920,0,2,-10,3
5691,-1511,7932,1,-3,1,3
5686,-1534,7898,-4,-7,8,3
5675,-1619,7877,-9,-8,17,3
5695,-1679,7825,-5,-7,3,3
5689,-1631,7771,-7,-6,-6,3
5674,-1642,7812,-5,0,-5,3
5637,-1626,7904,-2,5,-9,3
5603,-1586,7966,-6,2,-6,3
5591,-1629,7996,-2,-2,2,3
5625,-1643,7981,3,-11,3,3
5693,-1593,7787,5,-19,0,3
5689,-1612,7707,20,-9,-15,3
5688,-1522,7642,16,-1,-18,3
5703,-1488,7686,1,5,-18,3
5710,-1520,7781,-6,10,-16,3
5706,-1522,7871,-2,15,-6,3
5707,-1570,7958,10,19,-3,3
5674,-1583,8011,18,17,-6,3
5672,-1574,8013,13,9,0,3
5666,-1571,8006,4,1,6,3
5662,-1600,7963,-4,-6,11,3
5643,-1631,7953,-12,-8,9,3
5649,-1630,7990,-11,-7,11,3
5664,-1594,8013,19,-17,0,3
5691,-1604,7932,13,-23,4,3
5668,-1616,7854,0,-22,3,3
5624,-1679,7818,-7,-22,7,3
