acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
7227,-3317,5698,-15,-10,11,2
7252,-3305,5622,-9,-10,11,2
7248,-3302,5607,-1,-6,11,2
7231,-3320,5621,2,-2,10,2
7223,-3313,5717,-3,3,-17,2
7242,-3271,5745,-1,0,-17,2
7275,-3241,5715,0,-7,-16,2
7249,-3215,5674,3,-9,-13,2
7239,-3174,5680,4,-9,-14,2
7260,-3128,5705,0,-7,-15,2
7290,-3122,5710,-2,-7,-10,2
7278,-3142,5712,-1,-8,8,2
7229,-3296,5723,-3,-6,26,2
7236,-3317,5741,-3,-6,26,2
7227,-3363,5752,-5,-6,26,2
7207,-3378,5728,-6,-6,22,2
7185,-3399,5710,-6,-8,18,2
7198,-3417,5712,-2,-11,14,2
7180,-3425,5705,2,-11,6,2
7173,-3409,5689,5,-12,-6,2
7194,-3357,5706,6,-12,-12,2
7224,-3312,5675,3,-8,-9,2
7227,-3300,5630,-2,-4,-8,2
7240,-3283,5608,-4,0,-8,2
7255,-3246,5667,-3,3,-6,2
7252,-3226,5731,0,3,-3,2
7253,-3228,5776,3,-1,1,2
7252,-3253,5788,4,-6,7,2
7249,-3274,5737,-3,-9,8,2
7241,-3290,5688,-5,-8,5,2
7239,-3300,5686,-4,-8,0,2
7231,-3289,5667,-5,-4,0,2
7231,-3289,5667,-5,-4,0,2
7211,-3304,5695,-8,-2,0,2
7211,-3287,5713,-3,-2,3,2
7243,-3287,5689,6,-5,4,2
7270,-3268,5643,15,-8,3,2
7271,-3257,5638,13,-5,-3,2
7258,-3234,5681,4,-1,-8,2
7270,-3207,5688,-2,4,-4,2
7267,-3217,5757,-6,5,2,2
7233,-3271,5753,-2,-2,15,2
7233,-3271,5753,-2,-2,15,2
7237,-3307,5719,5,-6,25,2
7253,-3343,5686,7,-6,26,2
7230,-3335,5667,4,-5,17,2
7223,-3324,5699,0,-5,12,2
7233,-3359,5674,-4,-4,12,2
7201,-3401,5646,-8,0,4,2
7179,-3384,5709,-3,3,-5,2
7187,-3389,5748,1,1,-6,2
7217,-3351,5759,2,-4,-4,2
7237,-3316,5728,3,-6,-4,2
7266,-3301,5695,2,-5,-1,2
7246,-3301,5685,0,-2,-1,2
7233,-3304,5668,-4,0,-9,2
7229,-3288,5688,-2,3,-16,2
7231,-3269,5695,3,3,-11,2
7224,-3261,5691,9,1,-6,2
7231,-3268,5728,11,0,-6,2
7231,-3239,5755,13,-2,-12,2
7259,-3174,5736,9,-6,-11,2
7277,-3185,5674,1,-6,-1,2
7273,-3216,5658,-4,-2,4,2
7241,-3243,5706,-7,1,10,2
7224,-3268,5763,-4,0,14,2
7234,-3293,5777,0,-6,15,2
7243,-3288,5748,2,-9,15,2
7243,-3311,5711,6,-14,17,2
7236,-3330,5707,7,-13,19,2
7198,-3369,5689,3,-10,19,2
7169,-3404,5709,-1,-7,16,2
7157,-3423,5717,-4,-8,12,2
7149,-3433,5727,-8,-7,2,2
7180,-3421,5664,-6,-7,-14,2
7199,-3353,5646,-2,-7,-22,2
7217,-3300,5655,5,-6,-17,2
7270,-3282,5646,10,-4,-7,2
7269,-3281,5666,7,-2,-4,2
7237,-3253,5670,5,-1,-3,2
7239,-3235,5670,3,0,-1,2
7249,-3223,5669,3,3,1,2
7251,-3233,5727,0,4,3,2
7242,-3256,5777,0,2,3,2
7242,-3256,5777,0,2,3,2
7242,-3277,5755,0,0,1,2
7261,-3283,5731,2,-4,1,2
7263,-3281,5713,3,-7,0,2
7252,-3281,5724,4,-6,-2,2
7241,-3272,5721,3,-9,0,2
7219,-3269,5670,4,-11,2,2
7228,-3253,5634,2,-9,5,2
7239,-3275,5625,1,-2,11,2
7221,-3308,5667,1,3,10,2
7198,-3322,5737,0,3,9,2
7218,-3301,5687,5,-4,-2,2
7218,-3301,5687,5,-4,-2,2
7231,-3324,5687,4,-4,2,2
7218,-3367,5699,-1,-1,6,2
7217,-3391,5704,-3,2,1,2
7192,-3378,5723,-3,4,-5,2
7195,-3349,5746,-1,2,-9,2
7215,-3307,5731,2,0,-8,2
7245,-3269,5704,5,0,-4,2
7231,-3217,5699,8,2,-1,2
7231,-3217,5699,8,2,-1,2
7218,-3213,5772,6,1,-1,2
7219,-3191,5820,3,0,0,2
7243,-3176,5840,-2,1,4,2
7271,-3215,5806,-7,-4,9,2
7252,-3253,5760,-7,-5,13,2
7239,-3275,5740,-5,-6,15,2
7224,-3289,5760,-2,-9,15,2
7193,-3325,5740,-6,-15,7,2
7193,-3325,5740,-6,-15,7,2
7185,-3337,5682,-11,-14,8,2
7190,-3363,5648,-11,-11,6,2
7213,-3371,5646,-9,-9,3,2
7221,-3345,5621,-5,-9,3,2
7240,-3345,5585,-1,-7,3,2
7247,-3328,5590,0,-3,-2,2
7216,-3295,5652,1,2,-10,2
7213,-3278,5707,0,1,-10,2
7241,-3266,5681,4,-2,-9,2
7245,-3258,5652,10,0,-7,2
7246,-3234,5692,14,1,-7,2
7249,-3208,5710,14,0,-2,2
7246,-3209,5729,11,2,2,2
7239,-3228,5748,3,4,3,2
7201,-3238,5803,-1,1,6,2
7211,-3284,5780,-2,-5,5,2
7211,-3282,5748,0,-11,6,2
7234,-3265,5730,5,-14,11,2
7246,-3271,5688,4,-12,16,2
7223,-3272,5680,0,-6,23,2
7190,-3329,5728,-5,-2,26,2
7190,-3385,5758,-10,-2,27,2
7176,-3427,5740,-10,-4,19,2
7179,-3460,5733,-5,-8,9,2
7194,-3442,5719,4,-12,3,2
7200,-3402,5662,11,-15,-5,2
7219,-3331,5624,13,-14,-11,2
7230,-3292,5624,10,-10,-10,2
7219,-3270,5663,7,-3,-7,2
7223,-3247,5688,3,2,-2,2
7204,-3262,5706,2,2,4,2
7219,-3277,5707,1,4,9,2
7228,-3275,5700,0,3,10,2
7231,-3228,5697,2,1,2,2
7231,-3228,5697,2,1,2,2
7248,-3243,5686,3,0,8,2
7224,-3264,5777,0,-3,4,2
7224,-3264,5777,0,-3,4,2
7265,-3271,5715,-2,-5,14,2
7253,-3292,5682,-4,-4,20,2
7225,-3320,5688,-3,-2,19,2
7235,-3338,5697,-1,0,15,2
7201,-3368,5713,-3,-1,13,2
7173,-3362,5780,-7,0,9,2
7161,-3373,5842,-6,-6,6,2
7179,-3369,5773,0,-14,3,2
7187,-3354,5650,-8,-1,-2,2
7198,-3328,5667,-3,-1,-8,2
7218,-3295,5679,6,-2,-4,2
7234,-3210,5722,4,3,1,2
7224,-3228,5724,-1,6,7,2
7201,-3278,5718,-4,4,12,2
7182,-3361,5737,-4,2,17,2
7173,-3381,5777,0,0,11,2
7164,-3355,5825,2,-2,1,2
7182,-3336,5807,4,-6,1,2
7213,-3328,5780,2,-7,1,2
7215,-3308,5763,-2,-7,1,2
7207,-3316,5747,-5,-11,0,2
7205,-3343,5722,-12,-10,-4,2
7191,-3355,5680,-15,-12,-5,2
7216,-3359,5636,-11,-8,-3,2
7216,-3359,5636,-11,-8,-3,2
7249,-3343,5597,-5,-4,1,2
7223,-3338,5619,2,-3,2,2
7236,-3331,5610,8,0,-1,2
7224,-3320,5656,12,3,-7,2
7215,-3263,5719,15,4,-13,2
7199,-3197,5766,12,4,-13,2
7206,-3202,5792,6,3,-5,2
7219,-3215,5792,2,1,5,2
7243,-3226,5796,0,0,10,2
7212,-3262,5802,0,-3,10,2
7199,-3270,5837,2,-8,8,2
7210,-3276,5856,-3,-14,6,2
7215,-3265,5783,-10,-20,2,2
7134,-3451,5695,-5,-15,13,2
7134,-3451,5695,-5,-15,13,2
7142,-3478,5685,-7,-14,3,2
7161,-3426,5701,-7,-13,-18,2
7190,-3344,5692,-7,-13,-28,2
7203,-3304,5672,-4,-11,-17,2
7219,-3314,5679,-3,-8,-7,2
7242,-3325,5666,-4,-7,-7,2
7279,-3306,5610,-3,-4,-9,2
7271,-3280,5606,1,1,-6,2
7253,-3276,5651,0,4,-3,2
7236,-3283,5678,-3,4,-3,2
7198,-3304,5717,-2,4,-1,2
7191,-3302,5777,-8,5,0,2
7219,-3328,5813,-25,2,2,2
7204,-3430,5712,-20,-4,-6,2
7204,-3430,5712,-20,-4,-6,2
7242,-3360,5713,-2,-11,-23,2
7224,-3226,5773,-15,-13,-5,2
7224,-3226,5773,-15,-13,-5,2
7205,-3256,5694,-27,-16,-1,2
7218,-3276,5618,-23,-17,0,2
7242,-3287,5585,-9,-16,0,2
7251,-3255,5620,6,-18,0,2
7228,-3265,5626,9,-13,2,2
7218,-3277,5703,4,-7,-1,2
7229,-3256,5728,-3,-3,-4,2
7254,-3255,5703,-9,-4,0,2
7239,-3283,5643,-10,-6,10,2
7230,-3318,5606,-8,-9,12,2
7245,-3329,5596,0,-7,10,2
7216,-3341,5634,2,-3,9,2
7197,-3369,5655,2,0,9,2
7210,-3375,5700,3,0,6,2
7218,-3337,5724,8,0,-1,2
7230,-3275,5733,12,-5,-2,2
7224,-3265,5729,12,-4,2,2
7230,-3263,5758,9,-3,4,2
7242,-3237,5742,2,0,4,2
7230,-3268,5725,-4,-1,14,2
7218,-3328,5723,-9,-1,20,2
7190,-3401,5751,-7,0,18,2
7174,-3428,5786,-4,-4,10,2
7173,-3427,5800,4,-11,-3,2
7192,-3362,5802,6,-17,-12,2
7213,-3324,5790,4,-20,-10,2
7248,-3296,5698,-5,-21,-2,2
7243,-3374,5520,-14,-8,2,2
7243,-3374,5520,-14,-8,2,2
7217,-3375,5553,-6,-2,-3,2
7221,-3337,5604,4,-1,-6,2
7240,-3290,5626,11,0,-7,2
7248,-3253,5657,13,1,-8,2
7239,-3215,5704,13,2,-11,2
7247,-3184,5743,11,1,-11,2
7254,-3208,5747,4,0,-8,2
7258,-3221,5763,0,-1,-1,2
7241,-3258,5801,-2,-2,5,2
7239,-3295,5803,-3,-7,2,2
7246,-3270,5779,-3,-12,2,2
7246,-3284,5770,-4,-12,10,2
7215,-3316,5753,-5,-15,15,2
7176,-3357,5763,-6,-16,15,2
7169,-3389,5777,-8,-17,12,2
7175,-3377,5773,-10,-18,6,2
7258,-3351,5763,-12,-21,6,2
7195,-3367,5717,-13,-23,11,2
7200,-3407,5715,-15,-23,9,2
7222,-3420,5774,-21,-22,-3,2
7241,-3379,5812,-25,-22,-19,2
7285,-3305,5806,-29,-25,-12,2
7298,-3336,5803,-26,-28,2,2
7290,-3383,5812,-20,-34,5,2
7290,-3337,5808,-15,-39,-3,2
7330,-3287,5821,-15,-45,-6,2
7338,-3229,5822,-25,-49,0,2
7360,-3245,5828,-38,-50,11,2
7428,-3283,5856,-50,-49,23,2
7485,-3319,5894,-57,-52,35,2
7528,-3341,5974,-59,-61,41,2
7625,-3335,6135,-52,-76,46,2
7768,-3300,6508,-49,-106,58,2
7868,-3166,6824,-56,-158,85,2
7868,-3166,6824,-56,-158,85,2
7896,-3106,6912,-87,-202,120,2
8004,-3217,7064,-141,-243,174,2
8116,-3375,6939,-145,-310,230,2
8299,-3563,6987,-99,-364,255,2
8426,-1756,7197,199,-2968,2678,2
8426,-1756,7197,199,-2968,2678,2
7728,-2330,6058,855,-3494,3319,2
7503,-3417,4799,1866,-3842,3898,2
7203,-4204,3838,2941,-4050,4414,2
6872,-4401,3575,3996,-4065,4837,2
6208,-5105,4188,4745,-4030,5034,2
5047,-5803,4506,5167,-4031,5180,2
3566,-6428,4216,5818,-3835,5142,2
2724,-7203,3571,6182,-3706,4926,2
1570,-8844,1288,5689,-3903,4563,2
22,-10719,-1315,5123,-3913,4129,2
-1158,-13508,-2767,4805,-3669,3417,2
-2072,-17281,-3332,4477,-3411,1913,2
-3231,-20647,-3446,4171,-3080,-152,2
-3720,-22977,-3563,3925,-2557,-2370,2
-3328,-25145,-4040,3465,-2139,-4823,2
-3526,-26031,-5850,2811,-1758,-7346,2
-6408,-28900,-11989,-3334,1444,-17453,2
-6408,-28900,-11989,-3334,1444,-17453,2
-12300,-26442,-10764,-5470,2944,-17453,2
-18204,-22531,-6630,-7493,4661,-17453,2
-23502,-18380,381,-8645,6251,-17453,2
-30595,-15908,5948,-8096,7471,-17453,2
28340,-11105,6799,-5855,8251,-17283,2
26309,-1397,5693,-3398,9034,-14223,2
26974,11413,10708,-1219,10212,-11614,2
-32576,28508,24481,31,10933,-10932,2
-29035,-26310,-31146,-515,9431,-11503,2
-29760,-31201,31029,-2094,5499,-10068,2
-24859,14862,25720,-3085,2299,-4643,2
-18358,-889,21311,-935,2042,-640,2
-15620,-2462,16917,1251,2447,-257,2
-16083,4811,15891,727,1423,-912,2
-15872,11408,16932,-679,58,-1193,2
