acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
2646,-3052,8937,1,0,3,1
2646,-3052,8937,1,0,3,1
2632,-3022,9016,3,-5,-5,1
2640,-3022,9035,5,-17,0,1
2752,-2978,8865,-7,-29,7,1
2642,-3035,8919,3,-23,-8,1
2724,-3057,8834,30,-21,-7,1
2766,-2868,8771,1,-7,-13,1
2752,-2919,8842,0,5,5,1
2688,-2995,8874,20,8,7,1
2698,-2940,8905,16,13,6,1
2700,-2948,8970,0,19,9,1
2670,-2953,9012,-7,12,7,1
2687,-2967,8976,-1,2,13,1
2651,-2986,8923,0,12,5,1
2651,-2986,8923,0,12,5,1
2680,-2950,8937,0,17,10,1
2694,-2935,8992,1,20,19,1
2626,-3003,9073,3,18,25,1
2571,-3107,9075,3,6,19,1
2585,-3104,9055,-2,-3,2,1
2631,-3058,9021,-4,-14,-7,1
2666,-2998,8864,9,-2,-5,1
2666,-2998,8864,9,-2,-5,1
2655,-2971,8928,11,1,-7,1
2691,-2964,8909,11,-1,-5,1
2706,-2936,8915,5,3,-4,1
2686,-2925,8961,1,10,0,1
2656,-2946,8937,-1,6,3,1
2654,-2965,8913,5,0,6,1
2686,-2940,8894,9,-1,8,1
2682,-2949,8877,3,4,8,1
2677,-2971,8915,0,15,12,1
2646,-2985,8976,-2,21,12,1
2596,-3013,9015,-3,18,5,1
2616,-2985,9030,1,6,1,1
2685,-2965,8974,11,-2,1,1
2670,-2992,8959,11,1,2,1
2640,-2998,9006,3,4,5,1
2618,-3008,9013,0,5,7,1
2627,-2992,9000,4,3,11,1
2618,-3003,9021,1,4,13,1
2613,-3028,9070,-4,0,14,1
2603,-3052,9061,0,-9,13,1
2603,-3098,9020,-4,-15,1,1
2645,-3050,8941,-2,-23,-10,1
2715,-2980,8807,9,-27,-13,1
2724,-2973,8724,15,-18,-8,1
2713,-3001,8678,13,1,-1,1
2698,-3000,8737,10,21,-2,1
2639,-2992,8893,0,33,-6,1
2581,-2983,9067,-7,29,-7,1
2610,-2989,9100,-4,11,-3,1
2608,-3007,9032,0,0,-6,1
2621,-2989,9038,0,-1,-10,1
2640,-2950,9056,5,-4,-12,1
2654,-2925,8995,17,-8,-5,1
2661,-2938,8948,11,-1,0,1
2661,-2934,8958,2,9,3,1
2639,-2932,8953,-2,14,6,1
2633,-2929,8994,-3,14,6,1
2606,-2949,9098,-2,7,4,1
2601,-2948,9100,5,-12,0,1
2610,-2961,9079,12,-28,0,1
2607,-3019,9018,9,-37,0,1
2661,-3010,8904,8,-36,-2,1
2729,-2950,8822,4,-23,-3,1
2731,-2932,8818,-2,-3,5,1
2697,-2967,8858,-2,10,17,1
2693,-2986,8855,6,15,24,1
2609,-3013,8913,-1,22,21,1
2548,-3064,8998,-6,14,4,1
2612,-3014,8982,2,-5,-5,1
2680,-2938,8935,6,-9,-9,1
2692,-2931,8925,9,1,0,1
2661,-2977,8950,6,13,11,1
2626,-2989,8971,-1,21,15,1
2627,-2967,8962,-5,28,18,1
2612,-2958,9033,-9,33,21,1
2584,-2954,9079,-17,27,26,1
2584,-2997,9091,-21,18,28,1
2528,-3062,9140,-35,11,17,1
2523,-3095,9083,-34,-5,-9,1
2652,-2964,8974,-22,-19,-18,1
2701,-2883,8900,-21,-15,-11,1
2672,-2938,8897,-12,-6,7,1
2609,-3047,8934,-2,-3,14,1
2591,-3059,8954,3,-2,9,1
2581,-3038,9010,-2,0,1,1
2585,-3029,9033,-8,-7,-4,1
2631,-3023,8952,-6,-18,-3,1
2632,-3041,8886,-1,-17,-5,1
2618,-3047,8879,2,-17,-9,1
2648,-3021,8836,5,-14,-11,1
2661,-2980,8830,9,-5,-11,1
2618,-3009,8956,-4,20,-2,1
2592,-2960,9020,-6,19,-3,1
2559,-2964,9061,-1,9,1,1
2529,-3047,9092,5,-6,-1,1
2612,-3027,9027,18,-22,-9,1
2612,-3027,9027,18,-22,-9,1
2707,-2915,8939,19,-23,-11,1
2705,-2925,8928,9,-4,1,1
2626,-2980,8977,-8,14,13,1
2561,-3027,9000,-19,17,13,1
2522,-3017,9033,-16,11,4,1
2545,-2989,9092,-6,-1,-7,1
2585,-2973,9095,5,-20,-10,1
2619,-2982,9056,6,-34,-8,1
2650,-2992,8965,5,-40,-7,1
2705,-2983,8856,12,-40,-4,1
2688,-2992,8796,9,-26,-6,1
2578,-3021,8970,-1,7,3,1
2578,-3021,8970,-1,7,3,1
2587,-3037,9002,2,1,-1,1
2589,-3028,9070,10,-4,-8,1
2588,-3033,9103,10,-10,-10,1
2633,-2984,9035,3,-18,-8,1
2633,-2984,9035,3,-18,-8,1
2639,-2978,8976,-1,-14,-4,1
2642,-2983,8962,-3,-9,-2,1
2628,-2958,8984,-3,-5,-2,1
2608,-2973,9008,-7,-6,-2,1
2560,-3006,9082,-8,-17,-7,1
2581,-2970,9081,-7,-37,-14,1
2672,-3015,8857,-5,-14,-2,1
2672,-3015,8857,-5,-14,-2,1
2645,-2997,8856,1,-7,-4,1
2626,-2998,8936,4,-7,-1,1
2622,-3014,8988,0,-15,-5,1
2654,-3032,8961,-2,-25,-9,1
2652,-3026,8929,-7,-24,-12,1
2705,-3004,8871,-11,-19,-9,1
2731,-2989,8816,-5,-9,0,1
2670,-3026,8839,2,5,4,1
2618,-3075,8892,1,14,-1,1
2595,-3003,9015,4,13,-11,1
2613,-2966,9075,7,0,-14,1
2632,-2990,9041,9,-19,-12,1
2680,-3014,8995,4,-23,-6,1
2674,-3004,8953,0,-16,-9,1
2651,-3038,8958,-1,-7,-13,1
2663,-3034,8950,-3,-6,-17,1
2663,-2985,8954,2,-9,-21,1
2651,-2974,8974,7,-13,-15,1
2654,-2980,8948,3,-14,-10,1
2624,-2994,9013,-7,-12,-12,1
2616,-3013,9020,-12,-23,-15,1
2691,-2985,8910,-6,-33,-19,1
2724,-2941,8831,-5,-24,-18,1
2729,-2989,8837,-7,-12,-10,1
2701,-3061,8815,-2,-4,-4,1
2676,-3019,8836,1,1,-8,1
2701,-3001,8833,2,6,-11,1
2691,-3020,8820,4,10,-12,1
2631,-3044,8868,2,13,-20,1
2644,-3069,8897,2,10,-23,1
2715,-3058,8818,10,9,-32,1
2707,-3046,8798,5,20,-45,1
2686,-3077,8809,-9,33,-57,1
2557,-3283,8855,-36,39,-79,1
2361,-3705,8907,-83,29,-162,1
2417,-3772,8797,-151,3,-314,1
2616,-3181,8754,-161,-13,-431,1
2548,-3220,9101,-213,-18,-440,1
2085,-3525,9369,-255,-47,-495,1
1893,-3239,9747,104,-63,-739,1
1988,-2068,9901,607,-151,-981,1
2499,963,9040,1304,-269,-1109,1
3605,4008,7960,2141,-319,-1009,1
6185,7356,6647,3705,-546,-655,1
9513,14745,5067,6544,-1328,186,1
12500,25296,2542,9747,-1959,1722,1
15189,-29084,859,12335,-1508,4138,1
