acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
289,-234,9743,-4,-14,-7,0
289,-228,9773,8,-11,-10,0
311,-214,9785,13,-14,-1,0
329,-226,9775,5,-18,5,0
362,-184,9624,19,-19,0,0
347,-203,9634,22,-10,-1,0
348,-222,9665,6,-4,-2,0
313,-260,9727,-11,-2,1,0
300,-284,9754,-5,-1,0,0
313,-302,9780,0,-2,0,0
296,-277,9798,-6,-4,0,0
300,-264,9839,-5,-4,-6,0
310,-239,9824,0,-7,-9,0
319,-181,9830,0,-8,-14,0
316,-141,9859,-3,-7,-14,0
301,-153,9864,-10,-9,-4,0
295,-198,9828,-11,-13,13,0
284,-275,9816,-2,-18,17,0
288,-317,9796,10,-22,14,0
326,-328,9761,17,-27,4,0
328,-266,9732,15,-27,-10,0
342,-197,9705,7,-22,-14,0
341,-186,9682,-6,-22,-14,0
372,-181,9690,-7,-18,-5,0
413,-193,9680,-7,-10,2,0
349,-228,9702,-7,-9,7,0
360,-292,9736,-2,-9,10,0
357,-251,9765,1,-6,17,0
345,-201,9766,-1,-7,18,0
343,-210,9738,-4,-7,21,0
323,-307,9719,-4,-6,16,0
305,-408,9739,-7,-6,-13,0
294,-280,9787,-2,-4,-27,0
326,-153,9822,10,-6,-19,0
299,-196,9836,5,-7,-6,0
290,-295,9820,-2,-14,-3,0
306,-336,9817,-1,-16,-15,0
326,-250,9804,-2,-19,-20,0
350,-183,9800,-1,-20,-15,0
343,-201,9793,3,-20,0,0
349,-275,9751,3,-22,10,0
357,-278,9702,2,-22,9,0
350,-246,9692,1,-18,6,0
349,-249,9692,3,-18,-2,0
373,-302,9693,2,-18,-13,0
393,-275,9700,9,-11,-15,0
377,-223,9768,13,-6,-13,0
384,-228,9750,-5,-10,-10,0
373,-247,9717,-11,-10,-4,0
361,-235,9719,4,-8,-4,0
359,-192,9712,10,-7,3,0
384,-179,9702,13,-4,5,0
377,-156,9744,17,1,5,0
353,-116,9768,5,0,10,0
324,-201,9750,-4,-2,5,0
335,-296,9794,-10,-5,-10,0
342,-199,9817,-3,-4,-10,0
375,-165,9796,2,-6,-2,0
338,-231,9790,1,-7,1,0
335,-240,9739,-2,-9,-2,0
357,-202,9717,-11,-7,1,0
362,-220,9757,-14,-5,5,0
353,-295,9753,-11,-6,6,0
361,-300,9732,3,-5,10,0
341,-265,9775,8,-2,13,0
323,-295,9796,-4,-4,12,0
